"temp-outlet-0-rfile"
"Iteration" "temp-outlet-0"
("Iteration" "temp-outlet-0")
3 313.2047119140625
6 312.9693603515625
9 311.4142761230469
12 310.9505004882812
15 310.8406982421875
18 310.8596496582031
21 310.7153015136719
24 310.6543579101562
27 310.2860107421875
30 309.6415100097656
33 308.9210510253906
36 308.1753540039062
39 307.362548828125
42 306.5498352050781
45 305.7752075195312
48 305.1657409667969
51 304.6318664550781
54 304.23974609375
57 303.8927917480469
60 303.5688171386719
63 303.2789306640625
66 303.0285339355469
69 302.7951354980469
72 302.5929870605469
75 302.4255676269531
78 302.2788391113281
81 302.1495666503906
84 302.031494140625
87 301.9291687011719
90 301.8489074707031
93 301.7716064453125
96 301.6964416503906
99 301.6224060058594
102 301.5800476074219
105 301.5405883789062
108 301.5030517578125
111 301.4655151367188
114 301.4236145019531
117 301.3872680664062
120 301.3643493652344
123 301.3430480957031
126 301.3214721679688
129 301.29345703125
132 301.2610778808594
135 301.2491760253906
138 301.23974609375
141 301.2322387695312
144 301.2253112792969
147 301.2157592773438
150 301.20556640625
153 301.197998046875
156 301.1994934082031
159 301.2092590332031
162 301.2173156738281
165 301.2246704101562
168 301.2308349609375
171 301.2366333007812
174 301.2415466308594
177 301.2460327148438
180 301.2499694824219
183 301.2537536621094
186 301.2569580078125
189 301.2597351074219
192 301.2625427246094
195 301.2666015625
198 301.2705383300781
201 301.2744140625
204 301.2776184082031
207 301.2801513671875
210 301.2822570800781
213 301.2842407226562
216 301.2858276367188
219 301.2872619628906
222 301.2885131835938
225 301.2897033691406
