"temp-outlet-0-rfile"
"Iteration" "temp-outlet-0"
("Iteration" "temp-outlet-0")
3 314.0906066894531
6 313.4486999511719
9 313.36083984375
12 313.0953979492188
15 312.8771667480469
18 312.8618469238281
21 312.8747253417969
24 312.8158874511719
27 312.6784057617188
30 312.4429931640625
33 312.0945434570312
36 311.6810913085938
39 311.2206420898438
42 310.7398376464844
45 310.2542114257812
48 309.8086242675781
51 309.2680358886719
54 308.7569274902344
57 308.3869934082031
60 308.1845092773438
63 308.0104370117188
66 307.8500671386719
69 307.7479553222656
72 307.6873779296875
75 307.5772705078125
78 307.4642944335938
81 307.3609619140625
84 307.2520751953125
87 307.1250305175781
90 307.0227355957031
93 306.9317016601562
96 306.8387145996094
99 306.7416076660156
102 306.6318969726562
105 306.5185241699219
108 306.4834289550781
111 306.4505920410156
114 306.4207458496094
117 306.3932800292969
120 306.3768920898438
123 306.3544921875
126 306.3348693847656
129 306.3096008300781
132 306.291259765625
135 306.2994995117188
138 306.2933959960938
141 306.281982421875
144 306.2635498046875
147 306.2311401367188
150 306.193359375
153 306.1910400390625
156 306.194091796875
159 306.1965637207031
162 306.1989440917969
165 306.2029418945312
168 306.2060546875
171 306.2082214355469
174 306.21142578125
177 306.2142333984375
180 306.2185363769531
183 306.22216796875
186 306.2252197265625
189 306.2278137207031
192 306.2297058105469
195 306.2312927246094
198 306.2326354980469
201 306.2344665527344
204 306.2362060546875
207 306.2380981445312
210 306.2396545410156
213 306.2412414550781
216 306.2424926757812
219 306.2437133789062
222 306.2446899414062
225 306.24560546875
